 Reading in ../all_reals.csv
 length of input table       183603 x          40
 length of work table       367206 x          22
 Reading in ../df08_plantList.csv
 length of input table          802 x          11
 Coverting inputs to radians
 Will now do search through the input table to find linkable sources
  KBO_ID   N_OBS    RATE   ANGLE   STDEV    NCOR   RRATE  RANGLE    RMAG
   42563       7    4.00   68.26    0.84       1    3.10    6.39   26.82
   43681      14   12.35   77.00    0.69       3    2.92    7.08   24.11
   42563       5    2.66  164.61    0.91       1    3.10    6.39   26.82
   43681       4    3.53  -77.18    0.65       1    2.92    7.08   24.11
   42563       8    4.87  119.70    0.37       2    3.10    6.39   26.82
   43681       4    1.46  173.92    0.30       1    2.92    7.08   24.11
   47481       5    4.20   -3.74    0.70       2    2.80    7.09   24.83
   67282     410    2.30 -172.87    0.79       1    1.31    6.60   24.61
   67282     341    0.45   32.89    0.65       2    1.31    6.60   24.61
   67282     170    2.87   -2.01    0.54       1    1.31    6.60   24.61
   67282      38    1.31  179.17    0.61       1    1.31    6.60   24.61
   67282      21    2.71    6.99    0.83       1    1.31    6.60   24.61
   67282       9    3.72  -38.25    0.87       1    1.31    6.60   24.61
   55260      14    4.42  -74.28    0.57       1    2.51    5.83   24.14
   55260      28    1.58 -170.77    0.91       1    2.51    5.83   24.14
   55260      28    0.17  -42.36    0.88       1    2.51    5.83   24.14
    9694      12    6.65  -73.88    0.70       2    2.77    8.08   23.54
    9694       5    4.46  -69.14    0.88       2    2.77    8.08   23.54
   55260      36    5.11  167.06    0.62       1    2.51    5.83   24.14
   55260      16   12.28  117.51    0.85       2    2.51    5.83   24.14
    9694       7    9.95  123.59    0.69       2    2.77    8.08   23.54
   55260       8    5.40  -73.02    0.94       1    2.51    5.83   24.14
   55260       6    0.36  -23.10    0.66       1    2.51    5.83   24.14
   55260      16    9.57   56.61    0.73       1    2.51    5.83   24.14
   55260      13    3.59 -125.96    0.96       1    2.51    5.83   24.14
   55260       5    4.62  -61.96    0.57       1    2.51    5.83   24.14
   55260       4    7.19 -159.25    0.91       1    2.51    5.83   24.14
   55260      11    3.53   82.15    0.92       1    2.51    5.83   24.14
   55260       9    8.72   58.30    0.98       1    2.51    5.83   24.14
   55260       5    6.10   70.31    0.68       1    2.51    5.83   24.14
   55260       4    7.64   89.42    0.98       1    2.51    5.83   24.14
   55260       4    9.07   40.60    0.85       1    2.51    5.83   24.14
    9694      33    9.84  126.72    0.44       2    2.77    8.08   23.54
   55260       4    2.32  -21.08    0.60       1    2.51    5.83   24.14
   55260       4    4.11   95.71    0.60       1    2.51    5.83   24.14
   55260       4    4.49   -3.31    0.25       1    2.51    5.83   24.14
   55260       9    2.01  136.95    0.54       1    2.51    5.83   24.14
   55260       7    2.38 -129.45    0.86       1    2.51    5.83   24.14
   55260       6    2.67   11.04    0.80       1    2.51    5.83   24.14
