ra0,dec0,ra1,dec1,time0,time1,expnum0,expnum1,p0,p1,pred_mag,actual_mag,kbo_id0,kbo_id1,real_ra0,real_dec0,real_ra1,real_dec1,pred_pos_x0,pred_pos_y0,pred_pos_x1,pred_pos_y1,pred_pos_x0_sub,pred_pos_y0_sub,pred_pos_x1_sub,pred_pos_y1_sub,real_pos_x0,real_pos_y0,real_pos_x1,real_pos_y1,real_pos_x0_sub,real_pos_y0_sub,real_pos_x1_sub,real_pos_y1_sub,cut_center_x0,cut_center_y0,cut_center_x1,cut_center_y1,original_num,original_num_among_positively_predicted
289.22776691733225,-21.483400914960974,289.2270326881312,-21.48351127459068,58665.45263845,58665.49274965,25,39,1.0,0.98828125,22.96875,23.19,35674.0,35674.0,289.22778026012224,-21.483407530295448,289.22699814323227,-21.483503805098998,28.12500259096896,426.7659197021785,13.333449921108468,429.71725010559567,16.421875,31.421875,2.896484375,33.25,28.073127590968962,426.2440447021785,12.136965546108467,429.02725010559567,16.37,30.899999999999977,1.6999999999999993,32.56,43.70312759096896,427.3440447021785,42.43696554610847,428.46725010559567,6464,1121
289.22775578411466,-21.483408239465312,289.22701956003334,-21.483514977896846,58665.45263845,58665.49560705,25,40,1.0,0.984375,22.9375,23.19,35674.0,35674.0,289.22778026012224,-21.483407530295448,289.2269425816123,-21.483510546769686,27.92187759096896,426.9065447021785,19.360091896675158,430.36016775653343,16.21875,31.5625,2.755859375,33.375,28.073127590968962,426.2440447021785,17.554232521675157,430.23516775653343,16.37,30.899999999999977,0.9499999999999993,33.25,43.70312759096896,427.3440447021785,48.60423252167516,428.98516775653343,6465,1122
289.2277686196514,-21.483401683609987,289.22703554454876,-21.48351664788455,58665.45263845,58665.498465900004,25,41,0.9990234375,0.0157318115234375,23.3125,23.19,35674.0,35674.0,289.22778026012224,-21.483407530295448,289.2268867041205,-21.48351713924516,28.15625259096896,426.7815447021785,19.296461845319755,430.19496082026853,16.453125,31.4375,2.7890625,33.3125,28.073127590968962,426.2440447021785,16.077399345319755,430.04246082026856,16.37,30.899999999999977,-0.4299999999999997,33.160000000000025,43.70312759096896,427.3440447021785,48.507399345319755,428.88246082026853,6466,1123
289.227730444073,-21.483384985502674,289.2276807552619,-21.48339634121328,58665.45550505,58665.458398350005,26,27,0.994140625,0.9951171875,22.359375,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2276680148035,-21.483421305207674,27.404330921965652,426.64128224927845,26.41076499224232,427.02306020248307,15.7265625,31.125,14.875,31.296875,26.96776842196565,426.7262822492784,25.71576499224232,427.23618520248306,15.29,31.20999999999998,14.18,31.50999999999999,43.67776842196565,427.51628224927845,43.53576499224232,427.72618520248307,6469,1124
289.22769912359024,-21.48341725883736,289.2276118959311,-21.48343153069012,58665.45550505,58665.46125750001,26,28,1.0,1.0,22.75,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2276121524247,-21.483428221063026,26.834018421965652,427.26628224927845,24.945640612390207,427.61498933895496,15.15625,31.75,13.546875,31.984375,26.96776842196565,426.7262822492784,24.348765612390206,427.18061433895497,15.29,31.20999999999998,12.95,31.55000000000001,43.67776842196565,427.51628224927845,43.39876561239021,427.63061433895496,6470,1125
289.2276969022224,-21.483433188756468,289.2275430129236,-21.483455038939457,58665.45550505,58665.4641172,26,29,1.0,1.0,22.703125,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.227556598406,-21.48343472917714,26.794955921965652,427.57878224927845,23.683298892029143,428.29517715813404,15.1171875,32.0625,12.34375,32.46875,26.96776842196565,426.7262822492784,23.269548892029142,427.726427158134,15.29,31.20999999999998,11.93,31.899999999999977,43.67776842196565,427.51628224927845,43.33954889202914,427.82642715813404,6471,1126
289.2277002799852,-21.483439495091215,289.22749571972537,-21.48346844165185,58665.45550505,58665.4669749,26,30,1.0,0.994140625,22.75,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2275006274083,-21.483441966093714,26.857455921965652,427.70378224927845,22.722845845973893,428.58899006077877,15.1796875,32.1875,11.4296875,32.6875,26.96776842196565,426.7262822492784,22.103158345973892,427.97149006077876,15.29,31.20999999999998,10.809999999999999,32.06999999999999,43.67776842196565,427.51628224927845,43.29315834597389,427.90149006077877,6472,1127
289.2276474043169,-21.483435539873437,289.2274557642638,-21.483461267784286,58665.45550505,58665.4698372,26,31,1.0,1.0,22.515625,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2274449179027,-21.483448631471692,25.888705921965652,427.61003224927845,21.749936407004043,428.3016929013361,14.2109375,32.09375,10.71875,32.5625,26.96776842196565,426.7262822492784,20.581186407004044,427.7891929013361,15.29,31.20999999999998,9.55,32.05000000000001,43.67776842196565,427.51628224927845,43.03118640700404,427.7391929013361,6473,1128
289.22772163800624,-21.48343439776992,289.227466604516,-21.483472674149763,58665.45550505,58665.4726965,26,32,1.0,1.0,22.796875,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.227389132585,-21.483455578914402,27.248080921965652,427.61003224927845,21.890578747628638,428.66933223035153,15.5703125,32.09375,10.890625,32.78125,26.96776842196565,426.7262822492784,20.469953747628637,428.19808223035153,15.29,31.20999999999998,9.469999999999999,32.31,43.67776842196565,427.51628224927845,42.99995374762864,427.88808223035153,6474,1129
289.2276237249067,-21.48339775450161,289.22736317623054,-21.483438035511494,58665.45550505,58665.4755726,26,33,1.0,1.0,22.46875,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2273328652139,-21.483462152733274,25.451205921965652,426.86003224927845,20.072622038177997,428.0550062817217,13.7734375,31.34375,8.9921875,32.0625,26.96776842196565,426.7262822492784,18.600434538177996,428.5125062817217,15.29,31.20999999999998,7.52,32.51999999999998,43.67776842196565,427.51628224927845,43.080434538178,427.9925062817217,6475,1130
289.2277118431263,-21.483431369313053,289.2272388548546,-21.483492997538335,58665.45550505,58665.478430949996,26,34,1.0,0.9921875,23.296875,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.22727726284876,-21.483469468205584,27.068393421965652,427.54753224927845,17.50905768079633,429.2609728398984,15.390625,32.03125,6.7421875,33.09375,26.96776842196565,426.7262822492784,17.976870180796332,427.9772228398984,15.29,31.20999999999998,7.210000000000001,31.810000000000002,43.67776842196565,427.51628224927845,42.76687018079633,428.1672228398984,6476,1131
289.227688246114,-21.483455575996658,289.2271319392887,-21.48354226995709,58665.45550505,58665.481291050004,26,35,1.0,0.986328125,23.046875,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.22722150076726,-21.483475982234356,26.638705921965652,428.01628224927845,15.326674621512893,430.2662117098755,14.9609375,32.5,4.76171875,33.90625,26.96776842196565,426.7262822492784,16.524955871512894,428.3499617098755,15.29,31.20999999999998,5.960000000000001,31.99000000000001,43.67776842196565,427.51628224927845,42.56495587151289,428.3599617098755,6477,1132
289.22771536643523,-21.483411445425528,289.2271304990539,-21.483495370859472,58665.45550505,58665.484152799996,26,36,1.0,1.0,23.109375,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2271656834576,-21.48348299130903,27.130893421965652,427.15690724927845,15.406867616041609,429.2627633111613,15.453125,31.640625,4.703125,33.03125,26.96776842196565,426.7262822492784,15.75374261604161,428.26151331116125,15.29,31.20999999999998,5.050000000000001,32.02999999999997,43.67776842196565,427.51628224927845,42.70374261604161,428.2315133111613,6478,1133
289.2277148824681,-21.483421785102276,289.2270896077165,-21.483508329361097,58665.45550505,58665.48701015,26,37,1.0,1.0,23.0625,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.22710994149446,-21.483489813381624,27.123080921965652,427.36003224927845,14.629523078000148,429.65785628815956,15.4453125,31.84375,3.9921875,33.375,26.96776842196565,426.7262822492784,14.637335578000148,428.5828562881596,15.29,31.20999999999998,4.0,32.30000000000001,43.67776842196565,427.51628224927845,42.63733557800015,428.28285628815956,6479,1134
289.22772736503237,-21.483401723381387,289.22706597843904,-21.48349854832304,58665.45550505,58665.48986865,26,38,1.0,1.0,22.875,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2270539585442,-21.48349655094543,27.349643421965652,426.96940724927845,13.960354093362412,429.4528712446979,15.671875,31.453125,3.486328125,33.09375,26.96776842196565,426.7262822492784,13.214025968362412,428.76912124469794,15.29,31.20999999999998,2.74,32.410000000000025,43.67776842196565,427.51628224927845,42.47402596836241,428.3591212446979,6480,1135
289.2277063939549,-21.4834139678321,289.2270142003396,-21.48351791611717,58665.45550505,58665.49274965,26,39,1.0,0.9931640625,22.9375,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.22699814323227,-21.483503805098998,26.966830921965652,427.20378224927845,12.995559296108468,429.84225010559567,15.2890625,31.6875,2.55859375,33.375,26.96776842196565,426.7262822492784,12.136965546108467,429.02725010559567,15.29,31.20999999999998,1.6999999999999993,32.56,43.67776842196565,427.51628224927845,42.43696554610847,428.46725010559567,6481,1136
289.227702875054,-21.483433096863436,289.226961974792,-21.483541289075195,58665.45550505,58665.49560705,26,40,1.0,0.94140625,23.015625,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2269425816123,-21.483510546769686,26.904330921965652,427.57878224927845,18.308334084175158,430.86016775653343,15.2265625,32.0625,1.7041015625,33.875,26.96776842196565,426.7262822492784,17.554232521675157,430.23516775653343,15.29,31.20999999999998,0.9499999999999993,33.25,43.67776842196565,427.51628224927845,48.60423252167516,428.98516775653343,6482,1137
289.2276855022964,-21.483411904904642,289.2270017937352,-21.48352669942166,58665.45550505,58665.498465900004,26,41,1.0,0.58740234375,23.234375,23.19,35674.0,35674.0,289.2277240400658,-21.483414012612453,289.2268867041205,-21.48351713924516,26.584018421965652,427.15690724927845,18.679274345319755,430.38246082026853,14.90625,31.640625,2.171875,33.5,26.96776842196565,426.7262822492784,16.077399345319755,430.04246082026856,15.29,31.20999999999998,-0.4299999999999997,33.160000000000025,43.67776842196565,427.51628224927845,48.507399345319755,428.88246082026853,6483,1138
289.22764421874354,-21.48344538350565,289.2275886665986,-21.48345433989506,58665.458398350005,58665.4641172,27,29,1.0,0.9990234375,22.46875,23.19,35674.0,35674.0,289.2276680148035,-21.483421305207674,289.227556598406,-21.48343472917714,25.74670249224232,427.97618520248307,24.519236392029143,428.29517715813404,14.2109375,32.25,13.1796875,32.46875,25.71576499224232,427.23618520248306,23.269548892029142,427.726427158134,14.18,31.50999999999999,11.93,31.899999999999977,43.53576499224232,427.72618520248307,43.33954889202914,427.82642715813404,6487,1139
